Anime ID,Title,Production Budget,Streaming Cost,Merchandise revenue,Streaming revenues,Total revenues,Streaming Platform,Countries Available,Awards Won
66890,Forward space," 3,76,18,09,000 "," 47,18,80,254 "," 59,18,09,539 ",$778602419.1," 1,34,40,22,835 ",Disney+Amazon Prime,27,4
66914,Size game," 9,17,46,32,600 "," 53,87,04,007 "," 36,56,64,767 "," 88,88,61,612 "," 1,33,83,39,110 ",VRVHBO MaxNetflix,11,8
66951,Hotel teacher," 6,99,74,21,800 "," 38,78,82,196 "," 32,46,40,998 "," 64,00,05,623 "," 1,13,78,02,023 ",FunimationApple TV+Crunchyroll,13,4
66982,Appear cover sister," 17,19,06,22,400 "," 58,42,10,173 "," 42,19,01,928 "," 96,39,46,785 "," 1,45,11,09,403 ",VRVHulu,19,7
67106,When good purpose," 1,54,69,89,800 "," 50,30,65,049 "," 55,79,53,771 "," 83,00,57,331 "," 1,23,35,83,546 ",CrunchyrollHBO MaxAmazon Prime,12,5
67128,Those authority final," 4,97,26,29,000 "," 47,98,22,660 "," 46,74,48,945 "," 79,17,07,389 "," 1,33,40,72,853 ",VRVHuluYouTube Premium,25,8
67202,Think budget purpose," 16,14,02,57,600 "," 48,74,05,691 "," 77,21,75,698 "," 80,42,19,390 "," 1,45,11,20,903 ",FunimationYouTube Premium,6,5
67231,Section seek social," 12,04,64,38,200 "," 46,71,80,623 "," 41,69,36,727 "," 77,08,48,028 "," 1,22,80,82,467 ",VRVNetflix,7,6
67258,Claim way interview," 5,64,60,20,800 "," 23,86,57,376 "," 45,97,36,468 "," 62,30,79,136 "," 1,11,97,85,020 ",VRV,16,7
67307,Nation say drive region," 7,43,12,49,600 "," 49,27,07,604 "," 82,33,25,140 "," 1,06,22,24,867 "," 1,66,50,45,902 ",HBO MaxTubi,3,8
67385,Assume officer hotel,$10887057200," 30,10,83,293 "," 46,32,58,085 "," 69,37,85,851 "," 1,21,10,62,232 ",Funimation,28,7
67528,Finish laugh article," 25,12,59,92,000 "," 39,77,75,400 "," 55,28,95,464 "," 65,63,29,410 "," 99,16,49,866 ",Funimation,27,4
67573,Later baby," 7,50,56,68,400 "," 59,75,74,009 "," 49,26,19,178 "," 98,59,97,115 "," 1,71,62,74,463 ",YouTube PremiumAmazon Prime,10,8
67579,Sister coach pick big," 6,21,40,11,400 "," 18,40,41,172 "," 70,52,90,975 "," 56,85,07,715 "," 93,86,36,389 ",YouTube PremiumApple TV+Tubi,6,7
67599,Determine American good," 8,50,38,19,000 "," 51,40,04,609 "," 32,14,01,206 "," 84,81,07,605 "," 1,35,77,39,668 ",CrunchyrollDisney+Funimation,30,7
67613,Heart seem," 1,83,71,63,600 "," 35,13,64,039 "," 50,00,01,744 ",$761536949.653025," 1,14,79,04,707 ",CrunchyrollApple TV+,16,7
67621,Middle one," 9,21,75,02,400 "," 45,20,20,638 ",$227572117.910263," 74,58,34,053 "," 1,24,20,94,744 ",Apple TV+,5,6
67662,Group animal house," 8,23,12,46,400 "," 57,70,07,053 "," 20,73,97,839 "," 95,20,61,637 "," 1,51,18,12,958 ",CrunchyrollHulu,16,6
67706,Provide adult," 9,80,52,27,800 "," 53,37,97,444 "," 13,17,98,344 "," 88,07,65,783 "," 1,41,40,13,475 ",TubiVRVYouTube Premium,30,5
67726,Main magazine science national," 12,41,32,13,200 "," 40,08,69,129 "," 51,36,87,016 "," 66,14,34,063 "," 1,14,26,50,378 ",Crunchyroll,4,7
67751,Physical must," 1,03,98,51,600 "," 49,05,86,467 "," 53,25,61,220 "," 80,94,67,671 "," 1,45,55,91,402 ",Disney+VRVHBO Max,2,7
67768,Successful anyone," 4,86,69,28,600 "," 18,76,21,051 "," 60,92,28,131 "," 83,77,99,753 "," 1,21,56,35,125 ",Apple TV+NetflixHulu,17,6
67825,Must none grow," 3,67,80,39,400 "," 51,78,82,776 "," 49,75,67,145 "," 85,45,06,580 ",$1488386369.84596,FunimationVRV,28,7
67894,Fire knowledge," 13,48,44,60,400 "," 52,95,83,535 "," 88,69,18,382 "," 1,39,97,73,889 "," 2,47,53,46,272 ",TubiVRV,30,7
67912,History attorney TV," 19,12,26,02,000 "," 59,06,29,919 "," 31,72,23,328 "," 97,45,39,366 "," 1,44,15,77,849 ",HBO Max,27,7
67951,Leader reality data," 1,51,34,26,200 "," 55,27,69,236 "," 45,96,46,017 "," 91,20,69,239 "," 1,40,08,82,013 ",HBO MaxApple TV+,23,7
67986,Knowledge doctor again," 64,51,58,600 "," 28,75,57,259 "," 40,56,38,806 "," 62,13,90,105 ",$1000087187.96149,Apple TV+Funimation,21,8
68044,Test student claim," 11,73,69,72,200 "," 35,59,26,988 "," 51,27,57,893 "," 58,72,79,530 "," 87,15,04,282 ",Apple TV+,18,6
68159,Your throw action,$13836076600," 35,88,67,395 "," 41,28,88,285 "," 59,21,31,202 "," 1,02,87,19,679 ",HBO MaxApple TV+,19,7
68227,Pull need agreement occur," 3,39,59,04,800 "," 45,43,19,261 "," 65,85,03,136 "," 74,96,26,781 "," 1,25,67,47,232 ",Apple TV+,9,4
68339,Life type husband," 1,88,59,62,800 "," 58,00,58,996 "," 40,09,56,765 "," 95,70,97,343 "," 1,46,53,79,315 ",CrunchyrollYouTube Premium,16,4
68382,Consumer worry book," 26,32,59,95,200 "," 41,37,59,247 "," 61,74,94,125 "," 68,27,02,758 "," 99,59,04,130 ",Amazon PrimeCrunchyrollNetflix,21,8
68392,Industry natural girl open," 8,24,09,24,200 "," 53,86,97,403 "," 31,81,99,058 "," 88,88,50,715 "," 1,50,95,11,961 ",TubiHBO MaxDisney+,25,7
68404,Send approach learn," 9,15,86,94,800 "," 49,80,07,734 "," 64,53,94,204 "," 82,17,12,761 "," 1,17,52,92,498 ",Amazon Prime,12,8
68423,Our child pull," 12,44,28,20,800 "," 59,30,28,009 "," 47,39,15,782 "," 97,84,96,215 "," 1,43,46,70,771 ",HBO Max,18,6
68438,Sit mention enter focus," 1,34,08,93,000 "," 13,77,36,101 "," 56,45,65,368 "," 47,86,08,781 "," 78,91,57,544 ",FunimationVRVNetflix,15,6
68676,Provide determine," 7,25,48,85,200 "," 57,88,65,181 "," 13,96,77,165 "," 95,51,27,549 "," 1,44,75,70,672 ",Amazon PrimeCrunchyroll,9,6
68724,White yard," 1,94,23,09,200 "," 57,09,34,484 "," 56,17,01,841 "," 1,01,75,15,105 "," 1,46,94,98,762 ",Disney+Apple TV+Amazon Prime,30,8
68725,Indeed because adult,$7770320200," 40,64,15,128 "," 72,04,92,905 "," 83,20,94,149 "," 1,36,39,29,552 ",TubiCrunchyroll,24,6
68902,Better first scene," 3,11,73,07,400 "," 14,09,73,392 ",$475292968.50298," 92,15,70,234 "," 1,56,08,76,214 ",HBO MaxCrunchyrollNetflix,6,8
68935,Increase those room," 10,50,73,37,200 "," 46,64,86,500 ",$594346869.150434," 76,97,02,725 "," 1,27,95,12,142 ",Apple TV+,9,8
68942,Hot responsibility," 1,99,45,09,000 "," 51,97,26,129 "," 29,53,39,688 "," 85,75,48,113 "," 1,54,16,46,433 ",CrunchyrollYouTube PremiumTubi,20,4
69170,Large chance represent street," 4,39,32,40,000 "," 38,89,72,372 "," 34,25,60,853 ",$641804413.8," 1,13,59,28,259 ",NetflixFunimation,10,5
69211,Herself long science," 5,06,83,37,800 "," 49,95,99,964 "," 32,60,27,789 "," 82,43,39,941 "," 1,29,25,98,968 ",FunimationNetflixApple TV+,11,8
69282,Discuss course usually," 20,27,13,49,200 "," 26,58,47,761 "," 46,91,64,664 "," 43,86,48,806 "," 68,95,47,734 ",HuluTubi,21,6
69321,Sit available address," 8,21,02,58,600 "," 16,52,02,357 "," 21,57,82,768 "," 27,25,83,889 "," 39,42,00,134 ",HBO MaxHulu,6,6
69337,Year leave friend," 3,14,72,86,600 ",$468864036," 51,19,80,564 "," 77,36,25,659 "," 1,22,52,80,092 ",NetflixApple TV+Hulu,10,4
69481,Music interesting," 10,57,54,29,600 "," 57,78,93,744 "," 33,48,63,937 "," 95,35,24,678 "," 1,65,88,81,884 ",HuluCrunchyrollFunimation,15,7
69492,History week," 20,56,67,82,200 "," 57,17,86,969 "," 34,89,61,321 "," 94,34,48,499 ",$1444548995.02061,Amazon PrimeTubiCrunchyroll,18,6
69498,Avoid easy," 7,10,88,67,200 "," 50,14,04,962 "," 37,17,58,245 "," 82,73,18,187 "," 1,27,52,07,744 ",Amazon PrimeVRVFunimation,28,6
69593,Itself least," 4,37,78,82,800 "," 58,18,11,725 "," 29,20,32,318 "," 95,99,89,346 "," 1,67,06,21,411 ",Disney+,21,8
69612,Material business include," 4,57,83,13,400 "," 48,02,19,777 "," 47,47,71,847 "," 79,23,62,632 "," 1,14,34,46,610 ",Hulu,19,5
69626,Religious ability," 2,53,98,14,800 "," 45,25,87,331 "," 37,01,28,675 "," 74,67,69,096 "," 1,07,82,56,183 ",Hulu,30,7
69684,Case area data," 75,36,19,600 "," 26,13,55,451 "," 69,86,72,637 "," 43,12,36,494 "," 70,27,14,610 ",Netflix,9,7
69720,Treatment administration one," 1,64,82,35,000 "," 39,60,45,152 "," 55,73,46,635 "," 65,34,74,501 "," 96,12,86,501 ",Apple TV+Amazon PrimeHulu,26,4
69753,Civil trade somebody," 5,14,86,82,600 "," 38,54,48,123 "," 48,63,51,287 ",$635989402.95," 92,84,33,543 ",HuluYouTube Premium,7,4
69765,Former because put," 12,00,63,90,200 "," 42,71,14,450 "," 68,86,98,333 "," 70,47,38,843 "," 1,10,82,94,300 ",Disney+Hulu,29,4
69873,Test nor area whose," 10,69,32,93,800 "," 40,12,27,930 ",$460901922.19717," 68,12,78,969 "," 98,65,98,970 ",VRVFunimation,17,7
69876,Risk morning language," 43,84,70,000 "," 35,14,36,380 "," 61,99,20,026 "," 57,98,70,027 "," 95,93,33,932 ",Funimation,28,6
69893,Daughter network power," 3,28,54,79,800 "," 29,54,76,127 "," 60,14,01,079 ",$663434953.043008," 1,00,33,83,148 ",HBO MaxFunimationYouTube Premium,24,7
69909,Effort off," 29,06,70,600 "," 56,24,98,378 "," 30,18,70,969 ",$928122323.7," 1,67,97,92,981 ",CrunchyrollHuluVRV,20,6
69928,Imagine little case," 6,90,23,77,800 "," 59,93,60,487 "," 44,19,28,802 "," 98,89,44,804 "," 1,73,42,69,629 ",YouTube Premium,12,8
70174,Feel someone," 3,18,97,92,600 "," 10,75,02,868 "," 32,19,28,971 "," 43,45,14,424 "," 71,49,90,040 ",YouTube Premium,1,7
70236,Pay foreign," 5,89,91,43,400 "," 41,67,31,748 "," 71,49,70,317 "," 83,36,18,242 "," 1,35,42,12,483 ",Netflix,5,8
70268,Nearly receive process present," 2,12,41,17,200 "," 26,37,45,061 "," 56,55,07,325 "," 97,90,96,431 "," 1,43,53,93,810 ",Disney+,17,5
70286,Place next six," 4,83,27,03,400 "," 40,22,24,945 "," 75,04,70,115 "," 66,36,71,159 "," 1,13,78,94,723 ",FunimationYouTube Premium,3,5
70332,Television goal," 3,74,90,77,200 "," 51,97,09,930 ",$380617351.09727," 85,75,21,385 "," 1,28,33,17,101 ",Crunchyroll,25,4
70358,Scientist visit market," 13,33,59,80,400 "," 45,65,91,825 "," 66,63,00,087 "," 75,33,76,511 "," 1,24,57,65,130 ",FunimationCrunchyrollNetflix,6,5
70431,Sport talk," 3,85,72,27,400 "," 14,22,77,788 "," 82,35,55,993 "," 64,29,65,014 "," 1,03,26,57,841 ",TubiYouTube Premium,26,7
70458,Data deal easy," 1,60,40,28,400 "," 59,33,22,022 "," 43,80,76,572 "," 97,89,81,336 "," 1,77,65,20,453 ",TubiVRV,26,7
70463,Your service," 10,28,73,72,000 "," 25,28,24,055 "," 46,75,43,837 "," 61,26,46,504 "," 88,40,48,922 ",CrunchyrollNetflix,9,6
70580,Mention spring," 73,31,21,800 "," 35,87,11,088 ",$307354943.92952," 59,18,73,295 "," 87,72,44,556 ",Crunchyroll,4,6
70645,Share government," 6,57,06,72,400 "," 36,99,86,237 "," 61,45,07,122 "," 1,05,19,93,254 "," 1,83,56,98,183 ",Amazon PrimeHulu,25,6
70650,Security us," 2,48,27,34,800 "," 56,49,79,063 "," 69,14,07,971 "," 93,22,15,454 ",$1506193517.54818,FunimationDisney+VRV,1,8
70697,Plan brother page," 1,27,38,26,000 "," 49,81,57,877 "," 1,06,35,63,326 "," 1,29,48,95,372 "," 2,24,15,53,264 ",NetflixHuluHBO Max,21,7
70803,North guy computer," 3,43,51,19,000 "," 41,51,05,430 "," 58,61,58,109 "," 68,49,23,960 "," 1,02,83,57,885 ",VRVTubi,11,6
70857,Special identify condition," 9,76,08,95,400 "," 55,79,34,063 "," 27,10,41,798 "," 92,05,91,204 "," 1,31,83,07,041 ",HuluCrunchyroll,21,7
70903,Miss leave research back," 1,13,28,95,400 "," 53,63,08,625 "," 33,01,50,343 "," 88,49,09,231 "," 1,41,87,34,838 ",Disney+Netflix,25,5
70938,Final feel," 3,16,82,20,000 "," 54,49,37,536 "," 32,26,17,742 "," 89,91,46,934 "," 1,51,66,41,060 ",Netflix,3,7
71095,Phone improve hit," 2,21,89,63,400 "," 51,06,03,828 "," 41,76,60,483 "," 84,24,96,316 ",$1522110727.61983,CrunchyrollVRVYouTube Premium,15,4
71185,Stage family piece," 7,16,56,82,200 "," 16,69,43,769 "," 45,02,72,558 "," 91,83,69,950 "," 1,66,04,91,611 ",HuluCrunchyrollNetflix,9,8
71189,Could away," 6,16,19,59,400 "," 10,83,47,700 "," 33,99,42,608 "," 43,92,09,442 "," 79,64,70,228 ",CrunchyrollFunimationAmazon Prime,6,8
71299,Parent here role," 5,44,08,84,600 "," 35,03,89,355 ",$449174157.424013," 57,81,42,436 "," 97,98,95,674 ",Amazon Prime,8,5
71334,Suffer computer," 3,88,05,88,400 "," 57,45,99,910 "," 26,38,92,214 "," 94,80,89,852 "," 1,39,29,37,365 ",TubiApple TV+Crunchyroll,17,4
71495,Statement big summer," 3,76,62,33,800 "," 48,63,47,700 "," 34,92,38,520 "," 80,24,73,705 "," 1,28,81,10,574 ",Apple TV+FunimationCrunchyroll,28,8
71540,Successful receive into," 9,30,05,12,600 "," 51,62,47,957 "," 37,11,23,995 "," 85,18,09,129 "," 1,24,35,01,457 ",CrunchyrollFunimation,7,7
71600,Set bit debate," 6,97,13,85,600 "," 54,99,06,512 "," 55,58,05,239 "," 90,73,45,745 "," 1,35,08,43,886 ",Amazon PrimeVRVYouTube Premium,29,8
71673,Surface off management,$4900631200," 38,07,85,050 "," 61,91,12,259 "," 62,82,95,333 "," 1,04,12,32,015 ",YouTube Premium,4,6
71698,Skin green affect evidence," 6,76,54,82,000 "," 49,29,22,735 "," 43,18,97,421 "," 81,33,22,513 "," 1,20,24,18,965 ",Funimation,20,7
71733,Itself red," 5,64,90,83,800 "," 52,08,74,254 "," 35,75,54,153 "," 85,94,42,519 "," 1,28,89,84,026 ",HBO MaxFunimation,8,7
71747,Strong civil someone," 10,66,30,71,800 "," 58,29,92,284 "," 54,09,64,519 "," 96,19,37,269 "," 1,53,95,93,718 ",FunimationVRVAmazon Prime,25,7
71787,Much shake hit," 14,14,42,30,200 "," 55,90,38,787 "," 43,16,69,448 "," 92,24,13,999 "," 1,49,05,79,083 ",HBO Max,7,8
71873,Crime from notice," 2,76,12,79,400 "," 54,04,62,067 "," 36,01,74,622 "," 89,17,62,411 "," 1,60,42,77,473 ",Netflix,11,8
71876,Sister memory pull," 22,23,72,99,200 "," 51,76,91,437 "," 38,20,85,260 ",$864605792.026105," 1,44,48,11,177 ",NetflixDisney+,13,7
71970,Sort guess person," 11,21,63,30,000 "," 57,04,20,216 "," 72,11,83,100 "," 94,11,93,356 "," 1,61,98,34,057 ",CrunchyrollHulu,12,6
71987,Help population pressure," 6,15,94,76,800 "," 38,91,61,518 "," 30,15,36,910 "," 64,21,16,505 "," 1,00,56,18,997 ",Disney+Apple TV+YouTube Premium,7,4
72067,Training value," 1,38,58,37,400 "," 36,71,55,563 "," 43,87,24,405 "," 60,58,06,679 "," 91,32,17,967 ",NetflixApple TV+,3,6
72152,Begin interesting impact wide," 4,81,14,62,200 "," 33,91,53,529 "," 54,91,94,087 "," 75,04,02,235 "," 1,13,81,18,874 ",VRVHBO Max,5,5
72225,Reveal population medical," 16,75,34,000 "," 41,45,14,929 "," 45,62,92,439 "," 68,39,49,633 "," 1,23,14,94,543 ",VRVNetflix,3,4
72228,Sign dark," 5,77,11,04,600 "," 36,20,03,690 "," 16,87,03,776 "," 59,73,06,089 "," 92,19,47,086 ",VRVYouTube Premium,21,7
72327,See economic," 1,10,41,68,200 "," 57,77,13,652 "," 47,85,38,102 "," 95,32,27,526 ",$1533266898.49877,HBO MaxFunimation,16,6
72354,Itself himself stand seat," 13,69,83,45,000 "," 57,50,29,558 "," 76,04,71,623 "," 94,87,98,771 "," 1,39,57,55,741 ",NetflixHulu,3,6
72382,Try study bank," 4,20,85,20,000 "," 51,46,33,524 "," 60,58,20,315 "," 84,91,45,315 "," 1,23,12,30,575 ",VRV,23,7
72389,Short dream light at," 2,21,94,87,800 "," 41,24,23,170 "," 37,12,47,089 ",$680498230.5," 97,66,50,124 ",HBO Max,15,7
72471,Wide door," 8,31,58,16,600 "," 53,30,58,574 "," 46,86,53,811 ",$879546647.1," 1,53,21,42,806 ",Disney+NetflixYouTube Premium,3,4
72551,Tough man agent," 2,33,88,04,800 ",$466348912," 36,04,10,245 "," 76,94,75,705 "," 1,23,91,91,298 ",Apple TV+VRV,8,7
72580,Support same," 5,77,26,89,800 "," 43,90,89,910 "," 38,78,78,524 "," 72,44,98,352 "," 1,13,86,88,962 ",NetflixYouTube PremiumHBO Max,18,5
72581,Design field," 30,29,37,400 "," 31,61,07,084 "," 51,98,09,730 "," 1,07,06,77,443 "," 1,57,49,68,893 ",Hulu,13,7
72722,Pay next," 1,27,91,28,000 "," 22,54,22,352 "," 69,06,32,581 "," 68,00,57,624 "," 1,04,43,07,638 ",Disney+Apple TV+HBO Max,22,4
72760,Standard including off," 9,34,84,71,200 "," 35,65,06,828 "," 47,93,70,625 "," 90,75,47,344 "," 1,38,87,67,033 ",Netflix,7,7
72769,Ground wear," 21,87,92,92,600 "," 55,50,98,718 "," 51,09,85,257 "," 91,59,12,885 "," 1,51,57,79,868 ",Apple TV+,27,4
72825,Best marriage," 7,45,52,95,000 "," 21,64,90,541 "," 37,88,87,035 "," 35,72,09,393 "," 54,36,73,225 ",HBO MaxTubi,14,8
72843,Security admit," 8,80,02,77,400 ",$553405367," 57,92,91,591 "," 1,03,70,36,072 "," 1,82,05,43,861 ",YouTube PremiumCrunchyrollTubi,20,5
72856,Explain almost," 3,86,15,70,800 "," 47,55,41,604 "," 48,36,09,684 "," 78,46,43,647 "," 1,20,71,91,199 ",Amazon PrimeApple TV+Tubi,17,5
72877,Many exactly,$11170172200," 44,00,61,763 "," 15,87,25,306 "," 72,61,01,909 "," 1,25,92,84,915 ",HBO MaxFunimationAmazon Prime,8,7
72894,Again risk rest rest," 11,81,30,00,000 "," 36,42,06,714 "," 33,54,30,877 "," 60,09,41,078 "," 1,03,86,28,968 ",NetflixAmazon PrimeFunimation,29,6
72926,Authority heavy onto," 17,49,56,89,600 "," 35,94,30,722 "," 74,66,43,803 "," 94,59,18,753 "," 1,56,32,10,034 ",VRVHulu,3,7
72963,Under service night," 1,42,72,56,800 "," 22,39,81,621 "," 59,20,19,427 "," 1,34,59,99,603 "," 2,03,34,49,733 ",Amazon Prime,7,6
72990,Just play check," 7,34,68,97,000 "," 53,42,56,796 "," 36,99,08,858 "," 88,15,23,713 "," 1,56,22,15,858 ",HBO MaxNetflix,1,4
72996,Region key citizen," 15,16,24,18,800 "," 12,13,98,976 "," 64,66,54,840 "," 28,94,87,767 "," 42,91,73,549 ",Tubi,6,4
73015,Goal perform east," 4,51,89,65,400 "," 58,32,81,292 "," 58,00,39,373 "," 96,24,14,132 "," 1,45,31,77,411 ",Hulu,9,6
73018,Realize service," 8,55,92,79,000 "," 37,45,03,223 "," 82,91,96,029 "," 90,97,63,679 "," 1,57,50,49,613 ",Hulu,7,5
73020,Bed inside," 7,18,89,71,400 "," 46,23,01,982 "," 30,60,27,451 "," 76,27,98,270 "," 1,20,47,27,072 ",TubiVRV,13,5
73040,Resource him agree," 3,86,05,38,400 "," 40,13,60,648 "," 42,39,49,403 ",$675706267.154999," 1,17,59,49,672 ",YouTube PremiumApple TV+,9,6
73103,Share source case," 10,51,80,85,200 "," 39,91,09,779 "," 40,55,17,878 "," 1,03,24,53,832 ",$1856009824.43287,Disney+HBO Max,25,8
73120,Pm rule during," 7,05,09,22,800 "," 48,38,36,922 "," 91,95,78,091 "," 89,47,57,398 "," 1,32,72,54,614 ",Funimation,5,8
73154,Above state," 11,98,13,63,800 "," 40,63,38,295 "," 43,44,87,395 "," 67,04,58,187 "," 1,04,83,54,965 ",VRV,15,4
73167,Public wish," 8,35,44,11,400 ",$272218423," 25,64,26,245 "," 44,91,60,398 "," 66,53,29,046 ",YouTube PremiumHulu,29,8
73226,Present school," 2,06,77,95,000 "," 13,63,90,121 "," 44,79,79,713 "," 46,08,74,511 "," 78,29,26,937 ",FunimationHulu,17,7
73227,Assume clearly TV," 20,18,99,64,800 "," 55,98,11,392 "," 43,10,80,076 "," 92,36,88,797 "," 1,57,40,54,389 ",Apple TV+YouTube PremiumNetflix,16,8
73345,Rich difference skill," 4,47,23,93,800 ",$309665055," 48,66,58,509 "," 51,09,47,341 "," 82,60,43,423 ",Disney+TubiAmazon Prime,10,7
73393,Suffer whose consumer," 1,41,04,82,400 "," 37,90,53,345 "," 38,64,42,782 "," 97,73,60,452 "," 1,46,49,18,562 ",Apple TV+Hulu,26,7
73394,Prove point," 47,63,43,400 "," 35,14,75,686 "," 61,23,50,327 "," 57,99,34,882 "," 88,70,76,789 ",Netflix,25,4
73407,Live each leave," 5,60,64,22,200 "," 35,38,07,187 "," 69,89,38,274 "," 58,37,81,859 "," 95,58,53,550 ",Amazon Prime,13,8
73419,Campaign majority," 12,85,41,37,400 "," 35,54,26,770 "," 49,18,70,914 "," 58,64,54,171 "," 84,14,15,601 ",FunimationAmazon PrimeCrunchyroll,4,7
73474,Himself whole," 7,90,82,70,200 "," 57,93,09,282 "," 43,15,46,330 "," 1,03,87,34,381 ",$1757727225.45372,Amazon PrimeNetflixCrunchyroll,15,7
73606,Research agree," 7,96,58,44,800 "," 52,35,28,999 "," 43,20,71,763 "," 86,38,22,848 "," 1,26,55,15,111 ",NetflixVRVCrunchyroll,15,7
73658,Magazine floor all," 3,37,25,09,200 "," 36,36,24,390 "," 41,50,09,202 "," 97,51,13,918 "," 1,57,08,79,751 ",Disney+NetflixVRV,24,4
73757,Cultural city pressure," 8,99,50,54,200 "," 15,97,80,952 "," 48,93,56,167 "," 77,86,25,379 "," 1,26,43,96,220 ",Hulu,18,6
73966,Believe address around," 1,78,30,31,400 "," 28,64,12,734 "," 65,49,33,778 "," 63,84,00,411 ",$1160075892.70922,CrunchyrollTubi,25,8
73985,City whole all move," 7,59,21,45,400 "," 47,62,90,904 ",$584069818.055648," 1,03,79,83,477 "," 1,63,79,92,248 ",Disney+YouTube PremiumApple TV+,20,5
74012,Tree about name," 1,78,77,28,800 "," 44,29,88,855 "," 31,68,38,059 "," 73,09,31,611 "," 1,24,91,56,937 ",YouTube PremiumHBO Max,5,7
74066,These religious recent," 2,65,58,93,200 ",$386864061," 49,06,39,621 "," 63,83,25,701 "," 1,13,76,89,836 ",YouTube Premium,6,7
74106,Doctor computer a,$575714400," 55,07,41,800 "," 40,82,89,660 "," 90,87,23,970 "," 1,62,02,32,533 ",HBO MaxFunimation,19,7
74175,South particular," 5,74,72,78,200 "," 54,71,51,450 "," 35,16,47,047 "," 90,27,99,893 "," 1,45,24,93,635 ",VRV,6,8
74189,Gas fear discover," 6,88,05,23,600 "," 57,22,68,940 "," 27,45,24,720 "," 94,42,43,751 "," 1,35,30,65,984 ",Disney+YouTube PremiumHulu,16,7
74228,Red against," 3,50,13,91,200 "," 56,95,53,847 "," 45,58,28,910 "," 93,97,63,848 "," 1,68,39,04,500 ",NetflixHulu,21,6
74327,Detail director," 6,57,53,47,000 "," 57,41,19,001 "," 63,97,55,253 "," 94,72,96,352 "," 1,71,94,33,946 ",Amazon PrimeVRV,25,7
74360,Say use summer," 1,09,64,67,800 "," 42,44,10,139 "," 32,52,72,333 "," 70,02,76,729 "," 1,24,06,22,498 ",HuluAmazon PrimeDisney+,26,5
74389,Entire north,$21680068400," 30,26,78,240 "," 41,01,78,670 "," 1,10,37,24,171 "," 1,64,94,56,844 ",FunimationAmazon Prime,27,4
74392,Wall resource baby," 7,69,17,52,400 ",$520697518," 70,04,83,013 "," 98,79,06,382 "," 1,55,74,61,720 ",CrunchyrollDisney+Tubi,26,5
74396,Vote where," 6,99,47,59,600 "," 46,42,89,810 "," 61,63,84,638 "," 76,60,78,187 "," 1,37,90,15,342 ",VRV,6,7
74408,Minute ready finally," 2,00,61,76,600 "," 42,22,42,510 "," 33,13,58,453 "," 69,67,00,142 "," 1,07,93,62,409 ",VRVCrunchyrollApple TV+,12,4
74410,Those where first," 9,41,63,11,400 ",$525248703," 94,66,57,892 "," 1,03,74,06,178 "," 1,61,28,03,985 ",VRVFunimationHulu,14,8
74428,Human message," 9,28,20,82,600 "," 42,21,31,978 "," 42,79,17,302 "," 69,65,17,764 "," 1,14,39,68,342 ",CrunchyrollApple TV+Disney+,14,6
74446,Approach mother," 9,68,64,50,000 "," 50,55,60,685 "," 35,04,48,769 "," 83,41,75,130 "," 1,23,16,91,175 ",Hulu,2,7
74525,North key doctor," 4,98,68,90,000 "," 45,95,16,410 "," 33,97,53,267 "," 75,82,02,077 "," 1,20,81,10,766 ",YouTube PremiumAmazon Prime,18,5
74530,Student fast," 3,11,75,23,800 ",$520241086," 59,90,36,958 "," 85,83,97,792 "," 1,27,69,58,102 ",VRVHuluCrunchyroll,11,6
74531,Agency free," 4,51,58,75,000 "," 29,21,81,799 "," 46,70,38,483 "," 76,94,01,705 "," 1,21,49,61,014 ",Disney+NetflixYouTube Premium,23,7
74565,Blue campaign able," 12,23,22,93,600 "," 45,97,28,833 "," 69,25,61,271 "," 83,35,50,603 "," 1,26,67,87,113 ",Crunchyroll,14,8
74716,Quite set yard," 10,01,91,43,400 "," 35,65,30,252 "," 31,03,99,869 "," 58,82,74,916 "," 1,00,94,30,635 ",Apple TV+Netflix,16,8
74724,Wife fact," 1,37,71,76,800 "," 50,64,53,912 "," 61,18,19,805 "," 83,56,48,955 "," 1,47,56,41,610 ",VRVDisney+,9,8
74792,Wish usually capital view," 2,68,68,21,200 "," 43,72,71,072 "," 71,55,37,562 ",$1093617411.39865," 1,81,52,20,844 ",HBO MaxVRVTubi,10,6
74821,Hit chance," 10,70,16,07,800 "," 24,50,28,600 "," 46,82,07,632 "," 85,61,49,912 "," 1,47,28,79,468 ",YouTube PremiumCrunchyroll,10,6
74826,Service represent town," 13,10,24,19,000 "," 49,97,59,338 "," 74,34,95,475 "," 1,09,39,33,814 "," 1,89,10,82,231 ",HuluDisney+,24,5
74876,Air size group," 6,17,44,82,600 "," 49,20,05,173 "," 66,31,79,017 "," 91,94,70,456 "," 1,60,97,50,654 ",Apple TV+Amazon Prime,28,6
74904,Check want," 5,82,78,91,600 "," 29,61,88,954 "," 60,58,10,526 "," 94,78,15,184 ",$1525802533.65776,CrunchyrollApple TV+,12,6
75120,North guy," 5,95,89,99,400 "," 13,11,49,955 "," 60,57,36,635 "," 64,18,72,989 "," 92,65,06,629 ",Disney+VRV,26,8
75187,Beat economic guy," 3,24,35,00,400 "," 43,60,95,426 "," 56,34,92,189 "," 77,38,57,527 "," 1,12,31,47,194 ",FunimationHuluNetflix,21,4
